,precision,recall,f1-score,support
affectionate,0.75,0.84,0.7924528301886793,100.0
bathroom,0.9509803921568627,0.97,0.9603960396039604,100.0
delighted,0.5869565217391305,0.10588235294117647,0.17940199335548174,255.0
dysregulated,0.49230769230769234,0.45390070921985815,0.47232472324723246,141.0
dysregulation-bathroom,0.8584070796460177,0.97,0.9107981220657277,100.0
dysregulation-sick,0.8660714285714286,0.97,0.9150943396226415,100.0
frustrated,0.43478260869565216,0.6514657980456026,0.5215123859191656,307.0
glee,0.9009009009009009,1.0,0.947867298578199,100.0
greeting,0.9705882352941176,0.99,0.9801980198019802,100.0
happy,0.72,0.9,0.7999999999999999,100.0
help,0.7079646017699115,0.8,0.7511737089201878,100.0
hunger,0.9523809523809523,1.0,0.975609756097561,100.0
laugh,0.8596491228070176,0.98,0.9158878504672898,100.0
laughter,0.6666666666666666,0.44,0.5301204819277109,100.0
more,0.6879432624113475,0.97,0.8049792531120332,100.0
no,0.97,0.97,0.97,100.0
protest,0.7522123893805309,0.85,0.7981220657276995,100.0
request,0.3153153153153153,0.35,0.33175355450236965,100.0
selftalk,0.5193548387096775,0.4270557029177719,0.46870451237263466,377.0
social,0.46153846153846156,0.23622047244094488,0.3125,127.0
tablet,0.9065420560747663,0.97,0.9371980676328503,100.0
yes,0.5637583892617449,0.84,0.6746987951807228,100.0
accuracy,0.6752665978672171,0.6752665978672171,0.6752665978672171,0.6752665978672171
macro avg,0.7224691325285543,0.758387501616607,0.7250360817420058,2907.0
weighted avg,0.6697343641558717,0.6752665978672171,0.649629761358148,2907.0
